,itemName,type,meal,location,ingredients,hasPeanut,hasGluten,notVegan,notVeg,hasSesame,hasDairy,hasSoy,hasEgg,hasFish,withAlcohol
10,CHICKEN SOUVLAKI,ENTREES,Lunch,Atrium,frz chicken skewer,False,False,False,False,False,False,False,False,False,False
11,COCONUT LIME CHICKEN TACO,ENTREES,Lunch,Atrium,"tri color tortilla chip w/ tajin (chip tortilla tri-color), frz chicken cooked diced (boneless, skinless diced dark and white chicken, water, rice starch, vinegar, seasoning (maltodextrin, yeast extract, chicken stock, salt and flavors).), tortillas flour 6"", milk coconut * unsweetened can, thai chili crema (milk sour cream 5lb (cultured pasteurized light cream, nonfat milk, and enzymes), base roasted garlic (garlic juice, dehydrated roasted garlic, salt, maltodextrin, sugar, mixed triglycerides, corn syrup solids, soybean oil, natural flavors, autolyzed yeast extract (contains barley), xanthan gum, water, soy lecithin, lactic acid, potassium sorbate (to retard spoilage), molasses, onion powder, and garlic powder), sauce chili sweet thai), pico de gallo (prd tomato large (6x6), prd onion red, prd pepper jalapeno fresh, prd onion green scallion, oil olive pure, kosher salt, prd garlic peeled fresh gal, herb fresh cilantro bunch, juice real lemon 8/48oz (lemon juice from concentrate (water, concentrated lemon juice), and less than 2% of sodium benzoate, sodium metabisulfite and sodium sulfite (preservatives), and lemon oil.), juice fresh lime natural), juice fresh lime natural, vinegar rice seasoned (rice vinegar (water, rice), sugar, salt, water), herb fresh cilantro bunch, dressing mayonnaise (soybean oil, water, whole eggs and egg yolks, distilled vinegar, salt, sugar, lemon juice concentrate, calcium disodium edta (used to protect quality), natural flavors.), prd radish daikon -10 lb, prd carrot, prd garlic peeled fresh gal, prd shallots peeled gallon, sugar granulated 25lb, black pepper, kosher salt, prd ginger",True,True,False,False,False,True,False,True,False,False
12,CRISPY CHICKEN SLIDER,ENTREES,Lunch,Atrium,"kings hawaiin base (potato fries seasoned waffle , roll kings hawaiian foodservice sliced, pickle whole new (green)), frz chicken tempura breast chunks (boneless, skinless, chicken breast chunks with rib meat containing: up to 15% of a solution of water, seasoning [maltodextrin, autolyzed yeast extract, salt, potassium chloride, flavoring, disodium inosinate, disodium guanylate, contains less than 2% (carrot solids, cornstarch, dipotassium phosphate, invert sugar, potato maltodextrin, sodium acetate, sugar, tapioca maltodextrin, tartaric acid)], modified food starch, sodium phosphates, salt. coated with: corn starch, tapioca starch, dextrin, rice flour, salt, leavening (sodium acid pyrophosphate, sodium bicarbonate), soybean oil.), citrus tahini slaw (prd slaw broccoli mix 2/3lb, citrus tahini dressing (paste tahini, oil sesame seed 10/56oz, fru prd lemons 165ct, fru prd limes, vinegar rice seasoned (rice vinegar (water, rice), sugar, salt, water), water fresh, oil olive pure, prd garlic peeled fresh gal, juice fresh lime natural, kosher salt)), topping frenchs onion fried",True,True,True,True,True,False,False,False,False,False
13,GENERAL TSO CHICKEN,ENTREES,Lunch,Atrium,"frz chicken tempura breast chunks (boneless, skinless, chicken breast chunks with rib meat containing: up to 15% of a solution of water, seasoning [maltodextrin, autolyzed yeast extract, salt, potassium chloride, flavoring, disodium inosinate, disodium guanylate, contains less than 2% (carrot solids, cornstarch, dipotassium phosphate, invert sugar, potato maltodextrin, sodium acetate, sugar, tapioca maltodextrin, tartaric acid)], modified food starch, sodium phosphates, salt. coated with: corn starch, tapioca starch, dextrin, rice flour, salt, leavening (sodium acid pyrophosphate, sodium bicarbonate), soybean oil.), sauce asian menu general tso (sugar, water, soy sauce (soybeans, wheat, water, salt), vinegar, garlic juice (garlic juice, salt), ketchup (tomato concentrate, distilled vinegar, sugar, salt, onion powder, spice, natural flavoring), soybean oil, garlic, xantham gum, spice, natural preservative.), prd broccoli florettes 4/3#, sauce duck, frying oil (expeller pressed canola oil), prd pepper green large, prd pepper red * avg 22/25#, cornstarch slurry (water fresh, cornstarch), prd onion spanish dry, oil wesson canola 4/1gal",True,True,True,True,False,False,False,False,False,False
14,GENERAL TSO TOFU,ENTREES,Lunch,Atrium,"rice basmati, tofu firm bulk (water, soybeans, calcium sulfate, calcium chloride), sauce asian menu general tso (sugar, water, soy sauce (soybeans, wheat, water, salt), vinegar, garlic juice (garlic juice, salt), ketchup (tomato concentrate, distilled vinegar, sugar, salt, onion powder, spice, natural flavoring), soybean oil, garlic, xantham gum, spice, natural preservative.), prd onion spanish dry, prd broccoli florettes 4/3#, prd pepper green large, prd pepper red * avg 22/25#, sauce duck, frying oil (expeller pressed canola oil), oil wesson canola 4/1gal, cornstarch slurry (water fresh, cornstarch)",True,False,True,True,False,False,False,False,False,False
15,GYRO,ENTREES,Lunch,Atrium,"gyro cone, prd lettuce shredded, prd tomato large (6x6), prd onion red",False,False,False,False,False,False,False,False,False,False
16,HAND TOSSED CHEESE PIZZA,ENTREES,Lunch,Atrium,"pizza dough ball 20oz, sauce prepared pizza , cheese mozz shred rutgers blend (low moisture whole milk mozzarella, provolone cheese (pasteurized milk, cheese cultures, salt, enzymes), powdered cellulose (to prevent caking), potassium sorbate and natamycin.)",False,False,False,False,False,True,False,False,False,False
17,HAND TOSSED CHICKEN BACON RANCH PIZZA,ENTREES,Lunch,Atrium,"frz pizza crust pinsa - atrium only, cheese mozz shred rutgers blend (low moisture whole milk mozzarella, provolone cheese (pasteurized milk, cheese cultures, salt, enzymes), powdered cellulose (to prevent caking), potassium sorbate and natamycin.), sauce prepared pizza , frz chicken cooked diced (boneless, skinless diced dark and white chicken, water, rice starch, vinegar, seasoning (maltodextrin, yeast extract, chicken stock, salt and flavors).), bacon layout 15 lbs (pork bacon cured with water, salt, sugar, sodium phosphate, liquid smoke, sodium erythorbate, sodium nitrite.), dressing ranch creamy (soybean oil, water, cultured buttermilk, egg yolk, distilled vinegar, contains less than 2% of salt, monosodium glutamate, modified corn starch, buttermilk solids, sugar, garlic (dried), xanthan gum, spice, citric acid, onion (dried), sorbic acid (preservative), calcium disodium edta (to protect flavor), egg whites.)",True,False,True,True,False,True,False,True,False,False
18,HAND TOSSED MEAT LOVER'S PIZZA,ENTREES,Lunch,Atrium,"frz pizza crust pinsa - atrium only, cheese mozz shred rutgers blend (low moisture whole milk mozzarella, provolone cheese (pasteurized milk, cheese cultures, salt, enzymes), powdered cellulose (to prevent caking), potassium sorbate and natamycin.), sauce prepared pizza , turkey pepperoni * 20 lb case (turkey, pepperoni seasoning (corn syrup, spices (mustard), paprika, dextrose, paprika oleoresin, garlic powder, spice extractives, smoke flavoring), water, contains 2% or less salt, citric acid, dextrose, carrageenan, pepper, sodium nitrite.), thumann sausage crumbles (pork, water, salt, dextrose, isolated soy protein, flavorings, paprika, bha, citric acid.), bacon "" real "" bits (pork bacon cured with water, salt, sugar, sodium phosphate, sodium erythorbate, sodium nitrite, may contain natural smoke flavoring.)",False,False,True,True,False,True,False,False,False,False
19,HAND TOSSED VEGGIE PIZZA,ENTREES,Lunch,Atrium,"pizza dough ball 20oz, sauce prepared pizza , cheese mozz shred rutgers blend (low moisture whole milk mozzarella, provolone cheese (pasteurized milk, cheese cultures, salt, enzymes), powdered cellulose (to prevent caking), potassium sorbate and natamycin.), prd pepper red * avg 22/25#, prd onion spanish dry, prd mushroom 10# 1""-1.5"" diam, prd pepper green large, olives ripe sliced (sliced ripe olives, water, salt, ferrous gluconate (added to stabilize color))",False,False,False,False,False,True,False,False,False,False
20,HUNAN BEEF,ENTREES,Lunch,Atrium,"beef strips 1/4 x 1/4 x 3, prd asparagus green 11lb, sauce asian menu classic stirfry (soy sauce (water, wheat, soybeans, salt), sugar, water, onions, corn starch, xanthan gum, citric acid, garlic puree (dehydrated garlic, water), roasted sesame seed oil), prd onion spanish dry, prd pepper red * avg 22/25#, cornstarch slurry (water fresh, cornstarch), oil wesson canola 4/1gal, prd garlic peeled fresh gal, white ground pepper",True,False,True,True,True,False,False,False,False,False
21,KH WINGS,ENTREES,Lunch,Atrium,"chicken wing jum disj frsh 40#, potato fries seasoned waffle , pickle spears dill tubs, dressing pc 1.5oz blue cheese cup, sauce franks hot 4/1gal (aged cayenne red pepper, distilled vinegar, water, salt, garlic powder), topping honey mikes hot, prd celery sticks 5lb bag, prd carrot sticks 5lb bag",False,False,False,False,False,True,False,False,False,False
22,MEZZE BOWL,ENTREES,Lunch,Atrium,"salad tabbouli, grape leaves stuffed, hummus reg 4/2# (tribe: cooked chickpeas (chickpeas, water), tahini (ground sesame), canola oil, sea salt, dried roasted garlic, citric acid, spices. contains sesame.), olive greek kalamata pitted, horiatiki greek salad (cheese feta, prd onion red, prd pepper green large, prd cucumber seedless 12ct, prd tomato grape 12/ 1/2pt/red, olive greek kalamata pitted, prd garlic peeled fresh gal, black pepper, kosher salt, oregano leaves, oil olive pure, vinegar red wine 4/1gal)",False,False,False,False,True,True,False,False,False,True
23,SALMON POKE BOWL,ENTREES,Lunch,Atrium,"poke bowl rice (rice sticky (oriental), fru prd pineapple golden 6-7 ct, prd cucumber seedless 12ct, fru prd avocado ripe cal 48ct, fru prd mango, sauce ponzu, prd pepper red * avg 22/25#, watermelon radish, prd carrot shredded, prd kale lacinato (black), prd onion green scallion, white sesame seeds, prd amaranth microgreen, black sesame seeds), fish salmon flt s/off 4oz",False,False,False,False,True,False,False,False,True,False
24,SMOKED BRISKET SLIDER,ENTREES,Lunch,Atrium,"kings hawaiin base (potato fries seasoned waffle , roll kings hawaiian foodservice sliced, pickle whole new (green)), smoked beef brisket (beef brisket 120, butter print solids 36/1lb, onion powder, granulated garlic, black pepper, kosher salt), napa slaw (prd cabbage nappa, prd pepper yellow, prd pepper red * avg 22/25#, prd cabbage green, dressing mayonnaise (soybean oil, water, whole eggs and egg yolks, distilled vinegar, salt, sugar, lemon juice concentrate, calcium disodium edta (used to protect quality), natural flavors.), oil olive 25%/75%, vinegar rice seasoned (rice vinegar (water, rice), sugar, salt, water), juice fresh lime natural, prd onion green scallion, kosher salt, crushed red pepper flakes, black pepper, gluten free tamari soy sauce, juice fresh lime natural), bacon jam (prd onion spanish dry, bacon "" real "" bits (pork bacon cured with water, salt, sugar, sodium phosphate, sodium erythorbate, sodium nitrite, may contain natural smoke flavoring.), sauce bbq sweet baby ray's (high fructose corn syrup, distilled vinegar, tomato paste, modified food starch, contains less than 2% of: salt, pineapple juice concentrate, natural smoke flavor, spices, caramel color, sodium benzoate as a preservative, molasses, corn syrup, garlic*, sugar, tamarind, natural flavor. *dried)), cilantro crema (milk sour cream 5lb (cultured pasteurized light cream, nonfat milk, and enzymes), prd onion green scallion, herb fresh cilantro bunch, prd pepper chile serrano green, black pepper, salt), topping frenchs onion fried",False,True,True,True,False,True,False,True,False,False
25,THREE CHILI'S NACHOS,ENTREES,Lunch,Atrium,"tortilla corn tri color, milk sour cream 5lb (cultured pasteurized light cream, nonfat milk, and enzymes), guacamole western style, roasted corn pico de gallo (pico de gallo fresh, prd corn on the cob/yellow, juice fresh lime natural, herb fresh cilantro bunch, kosher salt, black pepper), queso blanco sauce (cheese american loaf 30#, milk whole 5gal, butter print solids 36/1lb, onion powder, ground cumin, garlic powder, chili powder (chili pepper, spices, salt, silicon dioxide (to make free flowing), and garlic.), cayenne pepper)",False,False,False,False,False,True,False,False,False,False
26,TOFU POKE BOWL,ENTREES,Lunch,Atrium,"poke bowl rice (rice sticky (oriental), fru prd pineapple golden 6-7 ct, prd cucumber seedless 12ct, fru prd avocado ripe cal 48ct, fru prd mango, sauce ponzu, prd pepper red * avg 22/25#, watermelon radish, prd carrot shredded, prd kale lacinato (black), prd onion green scallion, white sesame seeds, prd amaranth microgreen, black sesame seeds), tofu firm bulk (water, soybeans, calcium sulfate, calcium chloride)",False,False,False,False,True,False,False,False,False,False
27,VEGAN KABOB,ENTREES,Lunch,Atrium,"mezze bowl (salad tabbouli, grape leaves stuffed, hummus reg 4/2# (tribe: cooked chickpeas (chickpeas, water), tahini (ground sesame), canola oil, sea salt, dried roasted garlic, citric acid, spices. contains sesame.), olive greek kalamata pitted, horiatiki greek salad (cheese feta, prd onion red, prd pepper green large, prd cucumber seedless 12ct, prd tomato grape 12/ 1/2pt/red, olive greek kalamata pitted, prd garlic peeled fresh gal, black pepper, kosher salt, oregano leaves, oil olive pure, vinegar red wine 4/1gal)), vegan beyond ground meat, onion powder, chili powder (chili pepper, spices, salt, silicon dioxide (to make free flowing), and garlic.), spice masala garam , ground sumac, cayenne pepper, garlic powder",False,False,True,True,True,True,False,False,False,True
28,VEGETABLE SUSHI,ENTREES,Lunch,Atrium,"rice sticky (oriental), gluten free tamari soy sauce, vinegar rice seasoned (rice vinegar (water, rice), sugar, salt, water), prd asparagus green 11lb, prd pepper red * avg 22/25#, prd pepper yellow, prd carrot, pickle ginger sushi, wasabi (wasabi powder (horseradish, mustard, citric acid, vitamin c, fd&c yellow no. 5, fd&c blue no. 1), water fresh), wrap nori ( seaweed sheet )",False,True,False,False,False,False,False,False,False,False
29,BAJA SHRIMP TACO W/ CILANTRO LIME CREME,ENTREES,Dinner,Atrium,"tri color tortilla chip w/ tajin (chip tortilla tri-color), frz fish shrimp lg pdi 41-50ct t/off, prd garlic peeled fresh gal, tortillas flour 6"", juice fresh lime natural, cilantro crema (milk sour cream 5lb (cultured pasteurized light cream, nonfat milk, and enzymes), prd onion green scallion, herb fresh cilantro bunch, prd pepper chile serrano green, black pepper, salt), prd cabbage green shred 5lb, prd onion green scallion, oil olive pure, kosher salt, herb fresh cilantro bunch, black pepper, oregano leaves, ground cumin, ground coriander, chili powder (chili pepper, spices, salt, silicon dioxide (to make free flowing), and garlic.)",False,True,False,False,False,True,False,False,True,False
30,BEEF SLIDERS,ENTREES,Dinner,Atrium,"kings hawaiin base (potato fries seasoned waffle , roll kings hawaiian foodservice sliced, pickle whole new (green)), beef slider 80/2oz fresh thick, prd tomato large (6x6), prd lettuce shredded",False,False,True,True,False,False,False,False,False,False
31,BRISKET TACO,ENTREES,Dinner,Atrium,"tri color tortilla chip w/ tajin (chip tortilla tri-color), smoked beef brisket (beef brisket 120, butter print solids 36/1lb, onion powder, granulated garlic, black pepper, kosher salt), habanero lime garlic crema (fru prd limes, milk sour cream 5lb (cultured pasteurized light cream, nonfat milk, and enzymes), herb fresh cilantro bunch, prd garlic peeled fresh gal, kosher salt), tortillas flour 6"", roasted corn pico de gallo (pico de gallo fresh, prd corn on the cob/yellow, juice fresh lime natural, herb fresh cilantro bunch, kosher salt, black pepper), carmelized onions (prd onion spanish sliced, oil wesson canola 4/1gal, kosher salt)",False,True,True,True,False,True,False,False,False,False
32,CALIFORNIA ROLL,ENTREES,Dinner,Atrium,"sushi rice (water fresh, rice sticky (oriental), vinegar rice seasoned (rice vinegar (water, rice), sugar, salt, water), sauce mirin (glucose syrup, water, alcohol, rice, corn syrup, salt)), prd cucumber seedless 12ct, frz fish sea legs sticks, fru prd avocado ripe cal 48ct, gluten free tamari soy sauce, wrap nori ( seaweed sheet ), wasabi (wasabi powder (horseradish, mustard, citric acid, vitamin c, fd&c yellow no. 5, fd&c blue no. 1), water fresh), pickle ginger sushi",False,True,False,False,False,False,False,False,True,True
33,CHEESEBURGER SLIDER,ENTREES,Dinner,Atrium,"kings hawaiin base (potato fries seasoned waffle , roll kings hawaiian foodservice sliced, pickle whole new (green)), beef slider 80/2oz fresh thick, cheese american slcd yellow (skim milk, american cheese (milk, cheese cultures, salt, enzymes), palm oil, casein (milk protein), modified food starch, sodium citrate, salt, natural flavor, whey, citric acid, sorbic acid (as a preservative), artificial color, lecithin (soy)), prd tomato large (6x6), prd lettuce shredded",False,True,True,True,False,True,False,False,False,False
34,CHICKEN FINGER,ENTREES,Dinner,Atrium,"potato fries seasoned waffle , frz chicken brd tender sized (portioned chicken tenders with rib meat containing: up to 12% of a solution of water, salt, sodium phosphates, modified food starch. breaded with: bleached wheat flour, wheat flour, water, contains 2% or less of the following: autolyzed yeast extract, dextrose, dried yeast, disodium inosinate and disodium guanylate, leavening (sodium bicarbonate, sodium acid pyrophosphate, sodium aluminum phosphate, monocalcium phosphate), salt, soybean oil, spices, spice extractive, wheat gluten. breading set in vegetable oil.), pickle whole new (green)",True,True,True,True,False,False,False,False,False,False
35,CHICKEN SOUVLAKI,ENTREES,Dinner,Atrium,frz chicken skewer,False,False,False,False,False,False,False,False,False,False
36,COCONUT LIME CHICKEN TACO,ENTREES,Dinner,Atrium,"tri color tortilla chip w/ tajin (chip tortilla tri-color), frz chicken cooked diced (boneless, skinless diced dark and white chicken, water, rice starch, vinegar, seasoning (maltodextrin, yeast extract, chicken stock, salt and flavors).), tortillas flour 6"", milk coconut * unsweetened can, thai chili crema (milk sour cream 5lb (cultured pasteurized light cream, nonfat milk, and enzymes), base roasted garlic (garlic juice, dehydrated roasted garlic, salt, maltodextrin, sugar, mixed triglycerides, corn syrup solids, soybean oil, natural flavors, autolyzed yeast extract (contains barley), xanthan gum, water, soy lecithin, lactic acid, potassium sorbate (to retard spoilage), molasses, onion powder, and garlic powder), sauce chili sweet thai), pico de gallo (prd tomato large (6x6), prd onion red, prd pepper jalapeno fresh, prd onion green scallion, oil olive pure, kosher salt, prd garlic peeled fresh gal, herb fresh cilantro bunch, juice real lemon 8/48oz (lemon juice from concentrate (water, concentrated lemon juice), and less than 2% of sodium benzoate, sodium metabisulfite and sodium sulfite (preservatives), and lemon oil.), juice fresh lime natural), juice fresh lime natural, vinegar rice seasoned (rice vinegar (water, rice), sugar, salt, water), herb fresh cilantro bunch, dressing mayonnaise (soybean oil, water, whole eggs and egg yolks, distilled vinegar, salt, sugar, lemon juice concentrate, calcium disodium edta (used to protect quality), natural flavors.), prd radish daikon -10 lb, prd carrot, prd garlic peeled fresh gal, prd shallots peeled gallon, sugar granulated 25lb, black pepper, kosher salt, prd ginger",True,True,False,False,False,True,False,True,False,False
37,CRISPY CHICKEN SLIDER,ENTREES,Dinner,Atrium,"kings hawaiin base (potato fries seasoned waffle , roll kings hawaiian foodservice sliced, pickle whole new (green)), frz chicken tempura breast chunks (boneless, skinless, chicken breast chunks with rib meat containing: up to 15% of a solution of water, seasoning [maltodextrin, autolyzed yeast extract, salt, potassium chloride, flavoring, disodium inosinate, disodium guanylate, contains less than 2% (carrot solids, cornstarch, dipotassium phosphate, invert sugar, potato maltodextrin, sodium acetate, sugar, tapioca maltodextrin, tartaric acid)], modified food starch, sodium phosphates, salt. coated with: corn starch, tapioca starch, dextrin, rice flour, salt, leavening (sodium acid pyrophosphate, sodium bicarbonate), soybean oil.), citrus tahini slaw (prd slaw broccoli mix 2/3lb, citrus tahini dressing (paste tahini, oil sesame seed 10/56oz, fru prd lemons 165ct, fru prd limes, vinegar rice seasoned (rice vinegar (water, rice), sugar, salt, water), water fresh, oil olive pure, prd garlic peeled fresh gal, juice fresh lime natural, kosher salt)), topping frenchs onion fried",True,True,True,True,True,False,False,False,False,False
38,GENERAL TSO CHICKEN,ENTREES,Dinner,Atrium,"frz chicken tempura breast chunks (boneless, skinless, chicken breast chunks with rib meat containing: up to 15% of a solution of water, seasoning [maltodextrin, autolyzed yeast extract, salt, potassium chloride, flavoring, disodium inosinate, disodium guanylate, contains less than 2% (carrot solids, cornstarch, dipotassium phosphate, invert sugar, potato maltodextrin, sodium acetate, sugar, tapioca maltodextrin, tartaric acid)], modified food starch, sodium phosphates, salt. coated with: corn starch, tapioca starch, dextrin, rice flour, salt, leavening (sodium acid pyrophosphate, sodium bicarbonate), soybean oil.), sauce asian menu general tso (sugar, water, soy sauce (soybeans, wheat, water, salt), vinegar, garlic juice (garlic juice, salt), ketchup (tomato concentrate, distilled vinegar, sugar, salt, onion powder, spice, natural flavoring), soybean oil, garlic, xantham gum, spice, natural preservative.), prd broccoli florettes 4/3#, sauce duck, frying oil (expeller pressed canola oil), prd pepper green large, prd pepper red * avg 22/25#, cornstarch slurry (water fresh, cornstarch), prd onion spanish dry, oil wesson canola 4/1gal",True,True,True,True,False,False,False,False,False,False
39,GENERAL TSO TOFU,ENTREES,Dinner,Atrium,"rice basmati, tofu firm bulk (water, soybeans, calcium sulfate, calcium chloride), sauce asian menu general tso (sugar, water, soy sauce (soybeans, wheat, water, salt), vinegar, garlic juice (garlic juice, salt), ketchup (tomato concentrate, distilled vinegar, sugar, salt, onion powder, spice, natural flavoring), soybean oil, garlic, xantham gum, spice, natural preservative.), prd onion spanish dry, prd broccoli florettes 4/3#, prd pepper green large, prd pepper red * avg 22/25#, sauce duck, frying oil (expeller pressed canola oil), oil wesson canola 4/1gal, cornstarch slurry (water fresh, cornstarch)",True,False,True,True,False,False,False,False,False,False
40,GYRO,ENTREES,Dinner,Atrium,"gyro cone, prd lettuce shredded, prd tomato large (6x6), prd onion red",False,False,False,False,False,False,False,False,False,False
41,HAND TOSSED CHEESE PIZZA,ENTREES,Dinner,Atrium,"pizza dough ball 20oz, sauce prepared pizza , cheese mozz shred rutgers blend (low moisture whole milk mozzarella, provolone cheese (pasteurized milk, cheese cultures, salt, enzymes), powdered cellulose (to prevent caking), potassium sorbate and natamycin.)",False,False,False,False,False,True,False,False,False,False
